step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFraud,isFlaggedFraud
564,CASH_OUT,3611.39,C492675040,11610.49,7999.1,C576335730,54569.15,58180.54,0,0
268,TRANSFER,3247.4,C518243279,30533.13,27285.73,C428036779,38483.1,41730.5,0,0
510,CASH_OUT,11908.95,C777710864,27047.81,0.0,C956968794,95515.28,95515.28,1,0
386,DEBIT,3629.3,C167278735,14328.1,10698.8,C408545294,74291.78,77921.08,0,0
387,CASH_OUT,380.7,C714459780,31068.04,30687.34,C148516072,23389.47,23770.17,0,0
113,CASH_OUT,1552.56,C842680328,40065.74,38513.18,C748543263,58006.84,59559.4,0,0
613,PAYMENT,1755.45,C334718376,33033.81,31278.36,M548685843,19209.51,20964.96,0,0
625,TRANSFER,913.93,C796169529,28147.33,27233.4,C150121780,20512.81,21426.74,0,0
81,TRANSFER,453.64,C997965497,18687.27,18233.63,C152091760,93386.65,93840.29,0,0
699,TRANSFER,3114.74,C992081203,26118.05,23003.31,C591824539,94891.6,98006.34,0,0
113,TRANSFER,817.58,C360657077,9922.59,9105.01,C898583481,1025.64,1843.22,0,0
2,PAYMENT,2454.77,C442321125,32090.83,29636.06,M264473296,59205.0,61659.77,0,0
642,PAYMENT,978.7,C254943655,33247.92,32269.22,M901397793,83024.73,84003.43,0,0
220,DEBIT,1769.25,C384077220,36528.95,34759.7,C630105676,30760.68,32529.93,0,0
566,CASH_OUT,1032.65,C182110387,18274.53,17241.88,C620288891,81572.28,82604.93,0,0
736,PAYMENT,1331.54,C869108711,47069.6,45738.06,M554472434,96876.32,98207.86,0,0
225,PAYMENT,3297.54,C449721871,8290.37,4992.83,M190330754,12063.36,15360.9,0,0
385,CASH_OUT,5386.64,C707277589,18180.58,12793.94,C359413317,53367.22,58753.86,0,0
403,TRANSFER,1781.98,C242630042,42308.31,40526.33,C428830033,90926.1,92708.08,0,0
638,TRANSFER,2360.63,C108128390,6336.87,3976.24,C937207077,34601.11,36961.74,0,0
130,PAYMENT,5000.3,C242397733,30670.97,25670.67,M298120032,9999.53,14999.83,0,0
53,PAYMENT,391.44,C337852764,26713.73,26322.29,M903832451,43174.71,43566.15,0,0
684,TRANSFER,447.43,C670324273,22646.09,22198.66,C417587989,11778.55,12225.98,0,0
730,CASH_OUT,1117.74,C485604013,40495.82,39378.08,C609882515,54546.57,55664.31,0,0
672,PAYMENT,929.29,C201283744,37654.97,36725.68,M683718416,30466.66,31395.95,0,0
710,PAYMENT,10744.38,C133115618,38894.39,28150.01,M772206306,10645.32,21389.7,0,0
416,CASH_OUT,2080.81,C785467772,10033.39,7952.58,C949276086,5812.52,7893.33,0,0
247,CASH_OUT,1860.35,C734753711,1960.49,100.14,C961532064,60921.88,62782.23,0,0
439,PAYMENT,2166.14,C269204110,16438.14,14272.0,M561159445,16217.18,18383.32,0,0
203,CASH_OUT,5206.69,C708243708,44359.97,39153.28,C541149983,53307.79,58514.48,0,0
184,CASH_IN,702.79,C924338564,35371.15,34668.36,C115994614,31976.77,32679.56,0,0
123,DEBIT,1793.31,C866714173,10261.18,8467.87,C859809864,80266.35,82059.66,0,0
401,CASH_OUT,795.08,C510013716,44686.4,43891.32,C166436155,10900.84,11695.92,0,0
294,CASH_OUT,3796.88,C973899696,30133.89,26337.01,C981973361,32771.08,36567.96,0,0
280,PAYMENT,3757.75,C788454089,4746.14,988.39,M849775222,39510.54,43268.29,0,0
610,CASH_OUT,7896.5,C977461414,15104.14,7207.64,C808626726,98475.58,106372.08,0,0
198,CASH_OUT,1485.19,C199977788,18631.87,17146.68,C701051011,53363.4,54848.59,0,0
511,TRANSFER,436.87,C500427139,48633.39,48196.52,C820789639,54093.93,54530.8,0,0
144,TRANSFER,5673.31,C824941474,11560.91,5887.6,C782589672,82197.28,87870.59,0,0
609,CASH_OUT,5536.92,C922220178,6795.43,1258.51,C657669601,57456.6,62993.52,0,0
201,CASH_IN,673.62,C793624581,14392.01,13718.39,C171175188,30752.59,31426.21,0,0
124,PAYMENT,813.34,C125413050,1852.17,1038.83,M660706260,60085.75,60899.09,0,0
187,PAYMENT,945.06,C878358202,27571.64,26626.58,M166043192,8191.12,9136.18,0,0
326,CASH_OUT,1507.56,C496765296,12250.05,10742.49,C290373249,67148.74,68656.3,0,0
464,PAYMENT,4420.86,C306201742,39079.73,34658.87,M127487126,48092.42,52513.28,0,0
349,TRANSFER,394.79,C316785029,32797.55,32402.76,C376530798,82900.12,83294.91,0,0
660,PAYMENT,3018.19,C391086229,1082.55,0.0,M512691577,77531.66,80549.85,0,0
403,TRANSFER,1092.75,C485054478,27146.67,26053.92,C338360743,46094.52,47187.27,0,0
346,CASH_OUT,549.34,C157445212,23836.56,23287.22,C824428961,86839.76,87389.1,0,0
511,PAYMENT,1037.88,C400417302,49460.2,48422.32,M560090798,94699.18,95737.06,0,0
147,PAYMENT,1910.04,C332968836,45753.43,43843.39,M157912321,55352.79,57262.83,0,0
148,PAYMENT,6363.91,C274772273,28798.68,22434.77,M268947563,87655.59,94019.5,0,0
711,TRANSFER,2478.96,C285637865,9394.24,6915.28,C858634779,59173.74,61652.7,0,0
489,CASH_OUT,2340.38,C475895363,21697.8,19357.42,C763925457,6755.71,9096.09,0,0
640,TRANSFER,292.8,C747529839,10881.76,10588.96,C729814381,62195.56,62488.36,0,0
551,TRANSFER,212.91,C525457348,35353.04,35140.13,C384806262,74966.19,75179.1,0,0
338,TRANSFER,351.61,C168500575,22951.1,22599.49,C175384096,5190.61,5542.22,0,0
641,PAYMENT,256.06,C700839759,29691.5,29435.44,M203208246,68231.64,68487.7,0,0
473,CASH_OUT,2152.2,C105405507,25442.43,23290.23,C586579999,4850.4,7002.6,0,0
151,PAYMENT,1511.51,C308496442,8319.55,6808.04,M355741411,33266.23,34777.74,0,0
415,CASH_OUT,17.51,C857318536,8833.02,8815.51,C498663294,39891.94,39909.45,0,0
298,TRANSFER,1086.06,C915564667,43076.2,41990.14,C333674902,77178.18,78264.24,0,0
611,TRANSFER,345.59,C939527614,9881.23,9535.64,C624725469,24659.41,25005.0,0,0
263,CASH_OUT,11087.14,C630488476,24198.45,13111.31,C315282213,25017.36,36104.5,0,0
144,DEBIT,1546.19,C937564289,9626.88,8080.69,C931947139,26895.13,28441.32,0,0
346,CASH_IN,1393.37,C550382221,36492.4,35099.03,C433788955,45849.52,47242.89,0,0
624,TRANSFER,2588.29,C438337333,3891.45,1303.16,C887104661,79483.85,82072.14,0,0
572,PAYMENT,1109.39,C820425529,25732.75,24623.36,M990686565,33838.69,34948.08,0,0
2,DEBIT,3147.68,C673511360,11798.69,8651.01,C934626932,96376.52,99524.2,0,0
304,PAYMENT,5884.28,C796468581,35725.92,29841.64,M307001505,64144.78,70029.06,0,0
254,CASH_OUT,1732.36,C728647332,19497.85,17765.49,C814241761,17959.33,19691.69,0,0
652,CASH_OUT,1211.9,C681332648,3411.81,2199.91,C947496602,61339.19,62551.09,0,0
453,DEBIT,1849.82,C554782310,25552.19,23702.37,C946152441,31869.39,33719.21,0,0
37,DEBIT,2318.03,C587284051,10458.65,8140.62,C233373411,58612.93,60930.96,0,0
160,PAYMENT,4709.8,C639781549,41786.52,37076.72,M728933475,2862.8,7572.6,0,0
9,CASH_OUT,1259.17,C233526009,37166.87,35907.7,C385131227,48274.53,49533.7,0,0
233,PAYMENT,137.0,C765950224,14310.52,14173.52,M580523770,80095.74,80232.74,0,0
99,PAYMENT,2495.59,C970572047,47144.5,44648.91,M486992846,50086.85,52582.44,0,0
659,TRANSFER,10838.71,C653848765,19785.93,0.0,C576102800,25651.26,25651.26,1,0
208,PAYMENT,4819.43,C679897514,6974.42,2154.99,M647900108,82316.19,87135.62,0,0
131,CASH_OUT,3554.69,C785485250,40524.75,36970.06,C930611257,22807.94,26362.63,0,0
404,CASH_IN,490.49,C118534217,31542.05,31051.56,C136064730,81757.9,82248.39,0,0
152,TRANSFER,3456.97,C202016173,31293.99,27837.02,C683909118,36825.15,40282.12,0,0
54,PAYMENT,217.47,C681066820,35031.48,34814.01,M245397512,18587.11,18804.58,0,0
120,CASH_OUT,1707.64,C981466995,25533.33,23825.69,C446528039,20223.87,21931.51,0,0
673,DEBIT,1163.66,C849202192,8441.46,7277.8,C687902591,26587.15,27750.81,0,0
