account_age,month,payment_type,income,employment_status,customer_age,zip_count_4w,velocity_6h,velocity_24h,velocity_4w,bank_branch_count_8w,date_of_birth_distinct_emails_4w,credit_risk_score,email_is_free,housing_status,phone_home_valid,phone_mobile_valid,bank_months_count,proposed_credit_limit,device_fraud_count,fraud_bool
23,4,AC,0.65,CA,46,1172,82.78,3973.21,6837.13,3,9,381,1,BD,1,1,35,835.99,0,0
26,4,AD,0.75,CG,50,1186,635.91,779.16,15419.83,18,11,589,1,BB,0,1,4,835.99,0,0
0,0,AD,0.55,CA,82,1194,1906.88,2992.42,19560.19,5,10,340,0,BC,0,1,8,835.99,0,0
10,4,AD,0.46,CB,25,1210,4453.96,7773.89,25933.65,6,9,473,1,BC,0,0,19,835.99,0,0
1,1,AE,0.45,CG,58,1174,3803.38,3962.94,1553.05,6,11,523,1,BC,1,1,6,835.99,0,0
1,7,AC,0.55,CE,55,1224,73.94,8506.32,250.17,9,13,814,1,BC,1,1,29,835.99,0,0
27,5,AA,0.1,CC,43,1247,280.83,7126.7,903.28,19,8,706,1,BC,1,1,3,835.99,0,0
10,4,AE,0.29,CC,68,1178,2818.8,6100.65,2807.4,3,1,506,1,BF,1,1,30,835.99,0,0
0,7,AB,0.27,CC,65,1192,206.66,2246.41,18059.47,18,5,779,1,BB,1,1,33,835.99,0,0
22,0,AD,0.25,CG,42,1230,1261.68,18669.18,1032.54,17,6,591,1,BF,1,1,25,835.99,0,0
15,5,AB,0.53,CD,45,1174,578.55,3037.03,266.41,7,4,414,1,BB,1,1,14,835.99,0,0
5,0,AA,0.29,CB,41,1203,1682.15,2523.35,4469.05,0,1,429,0,BB,0,0,0,835.99,0,0
15,3,AE,0.14,CE,27,1208,3518.05,3049.15,908.9,1,2,660,0,BF,1,1,6,835.99,0,0
2,2,AA,0.81,CG,24,1220,6573.13,9366.06,13997.06,9,11,690,1,BE,0,1,28,835.99,0,1
10,1,AE,0.69,CC,62,1190,2148.53,798.58,2301.19,5,7,482,1,BD,1,1,11,835.99,0,0
22,3,AC,0.21,CB,18,1242,2050.96,1405.69,9027.82,1,14,737,1,BB,1,1,29,835.99,0,0
12,1,AD,0.77,CE,53,1191,697.77,612.89,5380.87,10,2,790,1,BB,1,1,34,835.99,1,0
11,5,AA,0.37,CB,47,1203,163.12,6831.69,1443.44,1,0,627,0,BA,1,1,27,835.99,1,0
12,0,AD,0.18,CF,75,1206,2856.34,12410.29,7141.31,19,14,661,0,BE,1,1,33,835.99,0,0
20,6,AD,0.29,CB,83,1177,5358.06,18599.45,18558.43,7,13,679,1,BB,0,1,27,835.99,0,1
23,2,AE,0.69,CB,62,1229,7190.83,2072.0,7777.47,18,8,579,1,BE,1,1,27,835.99,0,0
17,2,AB,0.67,CC,58,1226,289.56,2302.94,1230.34,16,4,551,1,BC,1,1,27,835.99,0,0
29,5,AD,0.14,CC,18,1228,43.94,12.68,16283.27,5,1,430,0,BB,1,1,11,835.99,0,0
11,5,AB,0.5,CD,57,1216,3097.88,3893.61,1292.01,3,10,466,1,BF,1,1,3,835.99,0,0
6,5,AD,0.84,CD,22,1182,1179.1,19316.19,6378.05,0,3,642,1,BA,1,1,21,835.99,0,0
15,0,AB,0.73,CF,44,1215,2201.21,1343.49,4983.61,12,4,510,1,BE,0,1,20,835.99,0,0
8,2,AE,0.52,CC,18,1215,1706.71,3241.01,1457.03,7,4,346,0,BD,1,1,2,835.99,0,0
12,3,AB,0.29,CB,49,1195,678.7,6362.96,28.61,8,2,800,0,BB,0,1,34,835.99,0,0
12,2,AE,0.29,CC,42,1241,3006.94,1333.92,4885.96,11,0,612,0,BD,1,1,16,835.99,0,0
26,7,AD,0.66,CB,36,1183,2691.81,7288.5,8889.06,12,10,551,1,BC,1,1,13,835.99,0,0
7,7,AC,0.78,CE,31,1215,4.93,3547.14,11342.69,5,4,540,1,BA,0,0,13,835.99,0,0
24,5,AB,0.2,CE,81,1150,2718.27,11768.92,5131.04,0,4,647,1,BB,1,1,2,835.99,0,0
9,3,AC,0.29,CE,63,1219,3019.07,6351.75,514.53,9,13,645,0,BC,1,1,9,835.99,0,0
25,6,AA,0.17,CB,30,1177,2715.95,6569.35,12156.22,2,8,798,0,BF,1,1,29,835.99,0,0
18,3,AB,0.65,CC,36,1192,1563.92,4317.24,12067.4,13,12,578,0,BA,1,1,23,835.99,0,0
1,2,AE,0.41,CG,77,1205,7186.14,1185.26,813.84,17,8,430,1,BB,0,1,3,835.99,0,0
5,6,AE,0.85,CC,28,1185,1500.88,7191.24,2601.91,17,14,732,1,BD,1,1,24,835.99,0,0
15,2,AB,0.67,CA,84,1138,2024.06,4449.41,11394.51,8,0,328,0,BD,1,1,14,835.99,0,0
13,4,AD,0.28,CA,55,1222,110.81,6178.57,905.12,9,11,823,1,BE,0,1,21,835.99,0,0
27,2,AA,0.82,CF,33,1175,450.51,1988.45,7193.71,13,0,387,0,BC,1,1,13,835.99,0,0
14,7,AD,0.24,CG,38,1199,2604.88,5663.21,6455.71,3,8,590,1,BF,0,1,6,835.99,0,0
1,3,AE,0.22,CB,52,1182,3298.78,4482.64,568.05,5,8,500,1,BC,1,1,15,835.99,0,0
0,3,AE,0.42,CA,50,1215,3256.91,166.54,671.22,2,8,846,1,BA,1,1,8,835.99,0,0
6,6,AD,0.88,CG,65,1186,1613.99,2658.59,8999.87,2,3,696,1,BE,1,0,19,835.99,0,0
27,0,AA,0.77,CE,50,1185,402.3,1671.85,10572.63,2,9,796,1,BA,1,0,33,835.99,0,0
22,3,AD,0.2,CB,22,1211,12592.1,8808.67,3552.83,13,2,438,0,BF,1,1,17,835.99,0,0
17,6,AE,0.76,CD,36,1182,3953.88,7764.3,9557.39,12,3,447,0,BB,1,1,15,835.99,0,0
28,5,AE,0.79,CE,50,1175,842.28,6306.41,18431.61,12,14,435,1,BC,1,1,0,835.99,0,0
22,4,AE,0.89,CB,42,1172,1124.91,1675.96,4576.64,10,3,478,0,BA,1,1,15,835.99,0,0
19,7,AC,0.61,CB,41,1208,2381.7,467.43,4894.3,18,8,362,1,BA,1,1,15,835.99,0,0
7,4,AC,0.28,CA,61,1218,3522.11,5928.95,2636.52,2,1,344,0,BD,1,0,10,835.99,0,0
7,5,AD,0.61,CA,45,1248,1240.41,19543.79,5722.59,11,0,319,1,BE,1,1,2,835.99,0,0
19,6,AC,0.26,CD,52,1221,6679.55,3186.95,641.97,2,1,790,0,BF,1,1,34,835.99,0,1
6,3,AA,0.77,CG,24,1253,3567.41,3171.17,3611.01,9,2,581,1,BB,1,1,7,835.99,0,0
22,5,AA,0.71,CD,37,1154,1436.5,1687.1,14.57,19,3,535,0,BF,1,1,8,835.99,0,0
11,3,AC,0.84,CC,27,1234,3686.65,298.11,11143.88,13,3,489,0,BD,1,1,3,835.99,0,0
7,0,AD,0.67,CA,75,1186,4391.88,3253.02,436.74,2,1,496,1,BE,0,1,14,835.99,0,0
6,3,AC,0.78,CG,78,1215,153.72,3598.07,4612.67,12,12,445,0,BF,1,1,10,835.99,1,0
13,6,AA,0.71,CG,48,1204,5358.4,983.87,6717.68,18,2,360,1,BF,1,1,24,835.99,0,0
23,5,AC,0.63,CC,38,1192,1671.62,1689.65,679.52,1,7,558,1,BC,0,0,10,835.99,0,0
15,3,AC,0.14,CF,77,1193,748.06,2079.33,10831.77,16,12,733,1,BA,1,1,4,835.99,0,1
25,2,AD,0.19,CC,48,1231,1156.45,6286.99,1921.4,14,12,502,1,BB,1,1,1,835.99,0,0
10,1,AA,0.33,CC,46,1151,6282.68,4499.42,23188.77,16,2,316,1,BF,0,1,8,835.99,0,0
16,6,AA,0.38,CB,65,1133,3763.51,5701.13,685.9,15,11,631,1,BB,1,1,35,835.99,0,0
15,0,AD,0.51,CB,42,1189,1771.81,6271.33,1220.96,0,8,441,0,BA,1,1,25,835.99,0,0
27,0,AD,0.32,CB,31,1180,4042.88,8078.72,8625.43,11,0,494,1,BD,1,0,29,835.99,0,0
13,4,AA,0.64,CE,24,1202,5348.49,5131.45,6794.12,6,9,466,0,BA,1,1,30,835.99,0,0
19,6,AD,0.25,CE,82,1141,2008.7,452.9,158.34,11,14,628,0,BB,1,1,21,835.99,0,1
0,7,AD,0.73,CB,63,1158,9199.0,23910.04,2593.67,1,9,781,0,BA,1,1,13,835.99,0,0
4,5,AA,0.45,CF,56,1192,9148.13,5065.12,4228.06,13,6,500,0,BB,1,1,8,835.99,1,0
18,7,AE,0.35,CC,69,1228,5627.03,6149.16,391.45,9,12,365,0,BC,1,1,21,835.99,0,1
7,4,AA,0.36,CG,69,1205,9153.42,1997.11,7949.39,1,11,358,0,BC,0,1,26,835.99,0,0
7,3,AD,0.27,CC,82,1204,117.38,3584.46,1322.86,5,5,482,1,BA,1,1,35,835.99,0,0
2,7,AD,0.46,CG,60,1177,1366.05,12195.92,5868.04,0,8,338,0,BC,0,1,6,835.99,0,0
18,1,AE,0.47,CA,31,1174,7957.69,2075.35,829.7,6,5,551,0,BA,0,1,10,835.99,0,0
16,3,AD,0.53,CB,50,1204,1971.12,2973.99,5575.01,19,6,714,1,BB,1,1,16,835.99,0,0
28,1,AC,0.13,CC,62,1186,311.18,1783.2,19569.66,9,7,614,0,BA,1,1,24,835.99,0,0
4,5,AA,0.37,CD,34,1089,4760.58,634.08,1400.19,6,14,372,0,BD,0,1,4,835.99,0,0
9,5,AA,0.56,CE,23,1213,6393.16,8681.51,19786.82,1,11,713,1,BC,1,0,22,835.99,0,1
27,0,AC,0.85,CC,50,1231,7122.17,10809.15,27669.58,2,14,837,1,BC,1,1,24,835.99,0,0
10,0,AE,0.67,CE,72,1194,1783.88,1620.58,42691.01,6,4,394,1,BF,1,0,16,835.99,0,0
6,3,AD,0.36,CE,49,1263,165.12,6132.43,2579.41,11,9,598,1,BE,1,1,0,835.99,0,0
20,6,AA,0.53,CE,72,1243,1219.02,108.03,71.89,17,1,509,0,BB,1,1,23,835.99,0,0
1,1,AB,0.82,CD,68,1165,2090.27,1217.47,1112.98,16,2,330,0,BE,1,1,13,835.99,2,0
17,4,AA,0.32,CC,29,1236,4502.73,17900.4,15760.96,13,12,837,1,BD,1,1,7,835.99,0,1
28,6,AD,0.84,CB,38,1184,177.59,8616.9,4718.76,4,14,626,1,BE,1,1,9,835.99,0,0
20,6,AC,0.68,CF,70,1191,3351.85,1130.67,2502.62,5,14,615,0,BC,1,1,26,835.99,0,0
15,4,AD,0.86,CG,18,1138,5176.42,2468.23,26249.5,19,6,807,1,BD,1,1,23,835.99,1,1
23,7,AC,0.29,CE,78,1200,5209.84,6685.06,47.42,3,9,379,1,BD,1,1,3,835.99,0,0
5,3,AC,0.85,CF,76,1199,3437.88,2675.71,7167.76,2,4,397,1,BC,1,1,25,835.99,1,1
1,7,AC,0.65,CD,42,1192,307.51,3126.16,6570.05,19,0,615,1,BD,1,1,30,835.99,0,0
29,1,AE,0.14,CD,28,1196,2204.72,2288.16,2048.39,19,6,302,1,BD,1,1,14,835.99,0,0
21,4,AC,0.33,CE,67,1213,16594.05,6457.25,3045.44,9,10,512,1,BA,1,1,25,835.99,0,0
14,5,AA,0.63,CD,76,1201,1098.15,7469.07,53.69,9,4,732,0,BC,1,1,15,835.99,0,0
0,0,AC,0.67,CG,51,1258,1205.91,4386.41,608.05,14,9,706,0,BD,1,0,27,835.99,0,1
19,4,AA,0.15,CG,44,1168,3495.19,2742.26,623.84,11,11,446,1,BE,1,1,16,835.99,0,1
21,4,AA,0.82,CF,37,1247,117.42,3759.26,1832.64,11,10,595,0,BF,0,1,0,835.99,0,0
11,7,AE,0.4,CB,55,1200,3382.04,2042.61,1110.8,6,7,315,0,BA,1,1,12,835.99,0,0
24,4,AE,0.7,CE,52,1205,3628.53,6508.77,6248.72,7,13,761,0,BA,1,1,24,835.99,0,0
23,3,AD,0.5,CA,77,1188,1363.04,3373.56,19.95,13,14,435,0,BD,1,1,28,835.99,0,0
8,2,AA,0.3,CB,34,1204,3826.72,2603.35,4308.66,3,6,313,1,BB,1,0,34,835.99,0,0
11,1,AD,0.54,CG,74,1187,2491.72,855.64,8546.34,19,7,516,1,BB,0,1,27,835.99,0,0
23,6,AB,0.44,CD,38,1276,2940.14,2439.14,9733.29,4,4,640,1,BC,1,1,8,835.99,0,0
22,7,AB,0.17,CF,42,1204,6386.97,6522.89,5018.6,17,6,490,0,BF,0,1,5,835.99,0,0
24,0,AC,0.9,CG,73,1182,9097.67,14784.53,2747.81,7,5,512,0,BB,0,1,26,835.99,0,1
23,3,AE,0.23,CE,31,1191,1057.55,1038.53,4365.07,8,10,342,1,BE,1,0,21,835.99,0,1
4,0,AD,0.28,CC,78,1259,3806.36,19115.19,4447.64,13,12,493,1,BD,1,1,10,835.99,0,0
21,1,AC,0.8,CD,50,1196,190.28,2804.79,982.76,4,12,667,0,BE,0,1,29,835.99,0,1
14,0,AB,0.36,CE,38,1241,795.37,6178.31,3924.29,1,12,722,0,BC,0,1,31,835.99,0,1
5,1,AC,0.46,CG,59,1245,2901.1,4648.34,14485.12,7,0,698,1,BC,0,1,35,835.99,0,0
12,3,AE,0.49,CA,41,1209,198.01,4057.58,6371.55,10,6,545,1,BF,1,1,10,835.99,0,0
3,4,AC,0.85,CA,60,1199,3316.86,7157.52,2519.1,3,7,461,0,BB,0,1,4,835.99,0,0
10,7,AE,0.14,CA,78,1107,1876.04,3983.25,1981.16,8,9,335,1,BF,1,1,19,835.99,0,0
4,5,AB,0.46,CD,42,1228,2972.42,13759.96,17430.49,17,6,546,1,BD,0,1,3,835.99,0,0
3,4,AC,0.18,CF,83,1215,4906.19,5973.07,9596.29,2,13,709,0,BE,1,1,33,835.99,0,0
29,5,AC,0.33,CB,56,1178,2639.57,3098.04,1351.12,0,14,736,1,BD,0,1,5,835.99,0,1
4,2,AC,0.73,CG,50,1212,4002.94,7087.6,9208.69,14,5,437,0,BC,1,0,4,835.99,0,0
26,0,AD,0.27,CC,57,1223,249.07,2290.67,17924.67,11,6,760,1,BC,1,1,33,835.99,0,0
4,6,AE,0.72,CA,31,1161,270.01,7153.65,2481.67,4,8,683,1,BB,1,1,24,835.99,0,0
28,0,AB,0.16,CB,34,1171,3447.71,1696.46,3062.94,11,14,647,1,BD,1,1,9,835.99,0,1
10,3,AA,0.27,CD,40,1193,1289.42,11729.91,691.02,7,1,837,1,BE,1,1,4,835.99,0,0
16,4,AB,0.7,CE,65,1152,930.04,672.02,2734.42,7,10,635,1,BB,0,1,21,835.99,0,0
9,2,AA,0.59,CF,70,1189,5673.39,9440.41,10578.05,14,10,584,1,BB,0,1,12,835.99,1,1
3,2,AA,0.16,CG,62,1223,3948.17,4620.02,26394.77,7,5,621,0,BC,1,1,21,835.99,0,0
13,4,AA,0.59,CF,18,1210,1192.75,2788.39,9472.07,8,13,813,1,BB,1,1,27,835.99,0,1
19,4,AA,0.54,CD,78,1179,3331.16,3156.63,7700.24,15,1,833,1,BC,1,1,8,835.99,0,0
14,3,AA,0.31,CC,57,1217,4367.57,6209.17,5328.3,5,10,526,0,BA,1,0,7,835.99,2,1
22,1,AD,0.6,CE,27,1240,2658.09,493.11,1236.98,11,1,575,0,BE,1,1,22,835.99,0,0
22,4,AB,0.42,CE,55,1199,1880.71,2404.36,552.84,0,2,381,0,BB,1,1,1,835.99,0,0
9,2,AB,0.37,CG,76,1212,2998.99,2322.21,2356.02,17,8,835,1,BC,0,0,15,835.99,0,0
24,2,AB,0.34,CD,78,1170,1701.97,4229.2,16158.0,17,4,426,0,BA,1,1,24,835.99,0,0
22,4,AB,0.62,CC,64,1204,13623.59,1503.0,2687.79,2,12,718,0,BB,0,1,19,835.99,1,1
0,7,AD,0.46,CG,45,1207,402.53,506.53,13571.6,1,0,633,1,BA,1,1,7,835.99,0,0
11,2,AC,0.23,CC,32,1236,549.62,4727.83,15446.9,18,3,545,1,BB,1,1,29,835.99,0,0
19,1,AB,0.21,CE,41,1211,153.62,5939.65,2842.87,18,0,721,1,BD,1,0,23,835.99,0,0
14,3,AE,0.18,CE,56,1182,922.33,8922.77,6322.7,0,1,335,1,BE,1,1,0,835.99,0,0
29,6,AB,0.82,CE,63,1224,1389.02,608.99,2843.36,13,10,829,0,BC,0,1,32,835.99,0,1
16,4,AC,0.67,CF,34,1179,4914.31,4662.46,17051.79,7,11,481,1,BD,1,1,23,835.99,0,0
27,5,AC,0.29,CE,61,1198,4928.19,409.05,2468.66,9,4,460,1,BC,1,1,17,835.99,0,0
5,5,AB,0.24,CA,76,1200,2261.82,14923.92,7549.61,5,2,478,1,BC,1,1,6,835.99,1,0
16,0,AB,0.45,CA,61,1255,1165.49,1062.77,4179.08,14,11,448,0,BC,1,1,23,835.99,0,1
22,3,AA,0.78,CA,78,1147,1964.84,726.92,27515.3,16,14,590,1,BB,1,0,28,835.99,0,0
1,4,AA,0.45,CC,81,1240,1880.15,16699.66,1817.72,10,8,612,0,BF,0,1,15,835.99,0,0
9,2,AB,0.66,CB,64,1213,48.58,995.86,3318.78,15,0,482,0,BB,0,1,32,835.99,0,0
20,4,AB,0.59,CD,39,1247,2536.46,97.93,2280.9,9,1,438,0,BD,1,1,11,835.99,0,0
20,7,AE,0.53,CE,52,1300,6702.63,2283.81,2542.46,6,1,682,0,BC,1,1,18,835.99,0,0
20,7,AC,0.31,CC,71,1230,48.73,10499.38,10027.27,4,2,496,1,BA,1,1,18,835.99,0,0
6,1,AB,0.64,CF,42,1218,1427.29,4426.89,4877.12,11,7,385,1,BA,0,1,23,835.99,0,0
26,3,AC,0.77,CA,44,1216,3037.76,17143.45,4676.61,18,11,690,1,BD,1,1,20,835.99,1,0
13,2,AC,0.76,CE,43,1153,1728.36,347.64,2622.15,1,13,782,0,BC,0,1,10,835.99,0,0
7,7,AC,0.75,CC,48,1128,6156.83,3572.99,1409.54,6,11,813,1,BA,0,1,1,835.99,0,1
13,7,AD,0.59,CD,59,1259,4479.69,4026.47,9769.98,1,9,595,1,BB,1,1,35,835.99,0,0
4,1,AD,0.82,CA,68,1199,880.95,4152.54,7298.22,4,8,683,1,BE,1,1,30,835.99,0,0
0,3,AD,0.26,CE,44,1208,154.55,155.38,5088.6,13,8,573,1,BD,1,1,19,835.99,0,0
10,1,AD,0.74,CD,50,1187,3368.79,1951.17,5847.54,4,2,840,1,BA,1,1,9,835.99,0,0
10,6,AB,0.37,CC,69,1221,6238.07,1383.49,5502.49,19,6,698,1,BC,1,1,20,835.99,0,1
18,2,AC,0.15,CE,61,1141,528.35,2572.41,9655.27,7,1,735,1,BD,1,1,16,835.99,0,0
17,1,AE,0.45,CB,58,1172,4109.69,2841.05,1750.24,9,13,303,1,BD,0,1,14,835.99,0,0
12,3,AB,0.24,CC,31,1211,5398.53,5807.3,11609.89,15,9,313,0,BA,0,1,16,835.99,0,1
6,6,AE,0.84,CF,49,1161,764.75,17573.44,1287.2,17,7,662,1,BC,1,1,14,835.99,0,0
8,5,AE,0.83,CC,81,1249,18966.16,1503.74,22577.0,18,13,713,1,BF,1,1,16,835.99,0,1
16,2,AD,0.5,CE,18,1227,11.19,1403.16,806.58,8,13,792,1,BA,1,1,10,835.99,0,0
26,1,AD,0.78,CD,44,1143,493.42,6589.28,20721.33,10,6,619,1,BD,0,1,2,835.99,0,0
26,4,AD,0.11,CC,40,1189,6283.67,509.98,10260.07,16,10,523,0,BC,1,1,3,835.99,0,0
6,5,AE,0.88,CA,29,1197,2268.48,956.13,5247.16,16,10,400,0,BE,1,1,22,835.99,0,0
3,0,AC,0.24,CE,82,1145,972.93,4655.03,3370.46,18,5,538,1,BE,1,1,34,835.99,0,0
16,4,AB,0.21,CB,80,1197,2016.06,6843.4,2805.56,12,1,311,0,BD,1,1,9,835.99,0,0
28,2,AB,0.21,CB,56,1271,3640.87,6714.0,22563.96,5,2,608,1,BA,1,1,15,835.99,0,0
7,5,AE,0.2,CA,42,1142,1209.44,33.61,5862.92,4,1,629,1,BE,0,1,9,835.99,0,0
12,6,AC,0.74,CE,65,1212,1990.32,23944.58,2756.84,11,7,758,1,BA,1,1,6,835.99,0,0
24,0,AA,0.44,CB,72,1183,5491.77,7408.64,8163.24,1,12,824,1,BF,0,1,7,835.99,0,1
14,4,AE,0.81,CE,77,1187,1117.58,10396.48,2056.3,13,9,652,0,BC,1,1,7,835.99,0,0
23,5,AB,0.27,CC,47,1175,2845.12,750.97,3881.56,8,8,685,1,BD,1,1,35,835.99,0,0
28,5,AC,0.44,CG,84,1185,2062.33,3844.13,4564.5,7,13,465,1,BF,1,1,24,835.99,0,0
13,0,AC,0.17,CA,66,1239,137.46,9744.3,2243.45,0,5,668,1,BF,0,1,20,835.99,0,0
5,0,AD,0.38,CB,44,1154,3335.05,5167.44,1216.65,18,7,677,1,BB,1,0,22,835.99,0,0
23,4,AC,0.49,CA,65,1252,10150.64,17182.86,3040.02,16,5,768,0,BB,1,1,27,835.99,0,0
27,6,AB,0.61,CA,58,1188,1584.22,1990.82,10138.05,2,7,543,1,BC,1,1,23,835.99,0,0
22,7,AD,0.83,CF,82,1259,529.41,5047.82,7895.43,6,12,682,1,BF,0,1,17,835.99,0,0
11,6,AD,0.51,CF,35,1198,2921.02,7926.59,11042.64,14,7,518,1,BA,1,1,19,835.99,0,0
28,7,AA,0.19,CB,70,1202,881.61,19836.03,3734.95,0,9,831,1,BA,1,1,13,835.99,0,0
11,0,AC,0.83,CD,30,1202,9022.98,2575.97,1141.03,17,0,795,0,BA,1,1,8,835.99,0,0
4,5,AB,0.54,CF,26,1170,11333.71,4217.23,25365.05,8,11,826,1,BD,1,1,12,835.99,0,1
25,2,AC,0.42,CE,36,1154,5091.36,2369.36,7491.39,5,1,813,0,BB,1,1,19,835.99,0,0
19,0,AE,0.18,CF,77,1210,709.82,4567.33,20722.6,2,8,836,1,BF,0,1,1,835.99,0,0
29,7,AB,0.44,CD,38,1176,43.75,1725.46,34534.52,12,11,758,1,BF,0,1,9,835.99,0,0
27,1,AB,0.49,CB,39,1215,286.03,3150.26,3190.96,1,12,784,1,BD,1,1,15,835.99,0,1
27,1,AA,0.69,CB,27,1208,2910.86,17210.83,26585.71,11,2,563,1,BA,1,1,22,835.99,0,0
4,3,AE,0.54,CA,25,1134,192.44,11926.28,1114.05,9,9,654,1,BE,1,1,22,835.99,1,1
2,1,AD,0.55,CD,74,1191,2104.54,3873.02,21459.58,12,8,569,1,BD,1,1,3,835.99,0,0
