student_id,career_label,cgpa,tenth_percentage,twelfth_percentage,aptitude_quant,aptitude_logical,aptitude_verbal,aptitude_technical,aptitude_total,num_projects,project_complexity,num_certifications,cert_relevance,interest_match,domain_match,skill_python,skill_java,skill_c,skill_cpp,skill_javascript,skill_typescript,skill_html,skill_css,skill_react,skill_nextjs,skill_nodejs,skill_fastapi,skill_restapi,skill_sql,skill_mysql,skill_postgresql,skill_mongodb,skill_pandas,skill_numpy,skill_statistics,skill_powerbi,skill_tableau,skill_sklearn,skill_tensorflow,skill_pytorch,skill_machine_learning,skill_deep_learning,skill_aws,skill_gcp,skill_azure,skill_docker,skill_kubernetes,skill_git,skill_linux,skill_dsa
36,Software Developer,7.1,88.8,88.8,65.8,70.1,56.4,86.9,69.8,0,3,1,1,0,1,1,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,3
37,Software Developer,6.72,74.5,83.8,89.9,77.3,85.1,49.8,75.5,1,3,0,0,1,0,2,2,0,0,0,1,2,1,1,0,0,1,1,3,1,0,0,0,0,1,0,0,0,2,0,0,0,0,0,1,0,0,3,1,2
38,Software Developer,8.18,73.1,84.2,75.7,55.3,77.7,82.1,72.7,4,3,1,1,1,1,2,3,2,0,1,0,0,0,2,0,0,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,3,0,3
39,Software Developer,6.47,82.0,70.9,58.0,50.4,45.1,92.9,61.6,4,2,1,0,1,1,1,3,0,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3,0,0,3,0,3
40,Software Developer,9.24,90.9,83.4,75.5,50.3,63.0,77.4,66.6,2,3,3,1,1,1,3,0,0,0,1,0,0,0,0,0,0,1,3,3,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,1
41,Software Developer,8.34,85.7,73.4,56.2,79.1,62.6,88.7,71.7,2,2,1,1,0,1,1,3,1,2,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2,0,3
42,Software Developer,6.87,72.3,77.1,84.1,66.0,53.5,92.7,74.1,2,2,2,1,0,0,0,3,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,2,0,3
43,Software Developer,6.27,74.2,78.9,78.2,66.4,76.8,67.1,72.1,1,3,2,1,0,0,2,1,0,2,0,1,0,1,2,0,0,0,3,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,3,0,1
44,Software Developer,5.94,78.2,90.1,81.4,100.0,59.7,71.1,78.1,2,1,0,0,1,1,2,1,1,0,0,0,0,0,0,0,0,0,2,3,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,3
45,Software Developer,7.32,85.5,78.5,62.7,68.8,60.9,69.4,65.5,2,2,1,1,1,1,3,3,0,0,0,1,0,0,0,0,1,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3
46,Software Developer,7.76,70.0,59.8,70.5,69.3,70.8,79.4,72.5,1,3,1,0,1,1,0,2,1,1,0,0,1,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,3
47,Software Developer,7.53,85.1,82.3,67.8,55.1,68.7,81.3,68.2,2,2,1,1,1,1,3,2,3,2,0,0,0,0,0,0,0,0,3,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2
48,Software Developer,8.18,88.7,60.6,67.7,72.5,73.6,82.6,74.1,2,2,0,0,1,1,0,3,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,1,0,0,1,0,1,0,0,0,0,0,0,2,2,0,2
49,Software Developer,6.42,81.8,57.6,71.2,100.0,56.6,78.6,77.8,3,3,1,1,1,1,2,3,0,2,0,0,0,2,1,0,0,0,3,2,0,1,0,0,1,0,2,0,0,0,0,1,0,0,0,0,0,1,3,0,2
50,Software Developer,8.1,90.1,85.2,62.2,79.1,61.1,88.3,72.7,0,2,3,1,1,1,3,2,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,3,0,3
51,Software Developer,8.89,65.0,93.4,59.2,63.1,69.3,83.1,68.7,1,3,3,1,1,1,2,3,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,1
52,Software Developer,6.51,81.1,75.7,86.5,73.6,52.5,85.9,74.6,2,2,2,0,1,1,0,3,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,3,0,2
53,Software Developer,6.93,75.7,80.8,64.2,59.4,62.2,61.2,61.8,3,1,1,1,1,0,3,2,2,3,1,0,0,1,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,1
54,Software Developer,5.98,76.0,88.2,76.7,91.6,75.7,53.1,74.3,2,3,1,0,1,1,2,2,2,3,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
55,Software Developer,7.72,86.4,66.0,64.3,67.1,75.8,59.2,66.6,3,2,3,1,1,0,0,0,1,0,0,0,2,0,1,0,0,0,0,0,2,0,2,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,3,1,3
56,Software Developer,8.64,85.8,74.0,84.0,69.5,79.0,73.9,76.6,1,1,3,1,0,1,3,0,3,3,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,3
57,Software Developer,7.43,93.9,74.1,71.2,77.1,85.7,66.5,75.1,3,2,0,0,1,0,3,3,0,2,0,0,0,0,0,0,2,0,1,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,3,0,2
58,Software Developer,7.39,74.7,80.1,70.4,81.7,73.2,75.7,75.2,4,2,2,1,1,1,2,2,1,0,1,1,0,0,0,0,1,0,2,2,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,1
59,Software Developer,6.35,76.1,81.9,63.5,49.9,60.3,67.4,60.3,1,2,2,0,0,1,3,3,2,0,0,0,0,0,0,0,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,1
60,Software Developer,8.6,90.2,73.3,79.3,75.8,38.6,75.0,67.2,2,3,1,0,0,0,2,3,1,0,0,0,0,1,1,0,0,0,2,2,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,1,0,0,0,2
61,Software Developer,6.83,100.0,78.8,85.1,77.4,68.4,72.1,75.8,2,2,2,1,1,1,2,3,2,0,1,1,0,0,0,0,0,2,1,0,0,2,1,0,0,0,0,0,1,1,1,0,0,0,0,3,0,0,2,1,3
62,Software Developer,7.39,95.0,87.3,64.8,100.0,75.5,80.6,81.0,3,2,2,1,1,1,1,3,2,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,0,2
63,Software Developer,7.62,75.1,74.8,80.9,70.2,82.8,76.9,77.7,2,2,0,0,1,0,2,2,3,2,0,0,0,0,1,0,2,0,2,3,0,0,1,1,0,0,0,0,0,0,0,0,0,3,2,0,0,0,2,0,3
64,Software Developer,7.11,83.1,74.6,77.0,82.2,44.8,86.8,72.7,2,2,1,1,1,1,0,1,1,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,2,0,2
65,Software Developer,6.91,78.8,77.3,73.6,81.7,62.9,98.2,79.1,2,3,0,0,0,1,3,3,0,3,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2,2,1,1,0,0,0,0,0,1,0,0,0,2,2,0,1
66,Software Developer,7.25,81.6,62.1,77.3,90.9,58.7,75.5,75.6,2,3,1,1,0,1,3,2,1,0,2,0,0,1,0,0,0,0,3,3,0,0,0,0,0,2,0,2,0,0,0,2,0,0,0,0,0,1,2,0,3
67,Software Developer,7.48,92.9,87.5,81.0,80.1,87.7,83.1,83.0,2,2,2,1,1,1,2,3,0,0,0,1,0,0,0,0,3,0,0,3,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2,0,3
68,Software Developer,5.78,84.4,73.6,87.6,89.1,60.4,87.8,81.2,2,3,1,1,0,0,2,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,3,0,2
69,Software Developer,7.73,86.6,64.6,82.4,59.0,70.8,65.7,69.5,2,3,1,1,1,1,2,3,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,3
70,Software Developer,7.97,70.2,73.7,71.1,88.2,90.3,65.4,78.8,1,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0
71,Software Developer,6.95,87.5,75.4,66.0,78.5,91.5,70.2,76.5,1,3,0,0,1,1,3,3,2,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,2,0,1
72,Software Developer,6.95,72.3,88.3,67.6,62.8,66.0,80.4,69.2,0,1,0,0,1,1,2,0,2,0,0,0,0,0,0,0,0,0,2,2,1,0,0,0,1,1,0,1,1,0,2,0,0,0,2,0,0,1,3,0,3
73,Software Developer,7.47,96.4,80.1,67.6,79.5,80.0,54.4,70.4,0,1,1,1,0,1,2,0,2,1,0,0,1,0,0,0,0,0,2,2,0,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,3,1,1
74,Software Developer,8.28,75.6,92.0,73.3,73.2,65.3,88.2,75.0,4,3,1,0,1,1,3,2,0,0,0,0,0,0,1,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,3,0,3
75,Software Developer,7.25,79.0,73.4,65.3,51.0,74.1,80.1,67.6,2,3,3,1,1,1,0,1,2,0,1,0,0,2,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1
76,Software Developer,8.31,82.8,80.7,75.3,79.8,67.8,79.8,75.7,2,2,0,0,1,1,2,3,0,3,0,2,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,1,2
77,Software Developer,7.77,79.7,77.5,46.4,77.8,62.2,65.0,62.8,3,3,2,1,1,1,2,2,2,0,0,1,0,0,0,0,0,0,2,3,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3
78,Software Developer,8.01,88.3,76.7,80.1,78.1,73.3,83.2,78.7,2,1,1,1,1,1,3,3,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,1,0,0,0,0,0,0,0,2,0,0,0,0,2,1,3
79,Software Developer,8.0,73.5,89.2,60.4,42.0,59.3,69.2,57.7,2,3,2,1,0,1,2,2,0,0,0,0,0,0,0,0,1,0,2,3,0,0,0,0,0,0,2,1,0,0,0,1,0,0,1,0,0,0,3,0,3
80,Software Developer,7.51,75.7,64.6,62.5,74.3,46.0,89.5,68.1,2,1,1,0,1,1,2,3,0,3,0,0,1,0,0,0,0,0,1,3,2,2,0,0,0,0,2,0,0,0,1,0,0,2,0,0,0,0,3,0,2
81,Software Developer,7.59,69.4,84.7,54.9,85.9,57.6,72.7,67.8,0,3,3,0,1,1,0,3,2,2,0,0,0,0,0,2,0,0,1,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2
82,Software Developer,8.61,75.9,64.4,74.9,87.7,83.2,74.3,80.0,4,1,0,0,1,1,0,0,1,3,0,1,0,1,1,1,0,0,2,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,2,3
83,Software Developer,6.88,76.6,89.5,77.5,73.4,32.3,67.4,62.6,3,1,3,1,1,1,1,3,0,1,2,0,2,2,1,0,0,0,1,2,0,0,0,0,2,0,1,0,1,0,0,0,1,0,0,0,0,1,1,0,2
84,Software Developer,7.86,98.8,89.6,66.2,78.3,54.7,79.7,69.7,3,3,2,1,0,1,3,0,0,3,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,2,0,3
85,Software Developer,8.1,88.3,89.7,82.9,68.9,55.4,100.0,78.1,3,1,0,0,1,1,2,0,2,1,1,1,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,0,2
86,Software Developer,7.91,73.7,72.3,68.2,70.8,43.0,86.1,67.0,4,3,2,1,1,1,3,2,0,1,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2
87,Software Developer,6.7,87.2,88.6,77.9,56.3,59.6,69.5,65.8,4,1,3,1,1,1,3,1,0,0,0,1,0,0,0,2,1,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,2,2,3
88,Software Developer,6.34,76.2,72.1,65.4,64.6,71.6,78.1,69.9,2,2,1,0,1,1,0,3,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,3,0,0
89,Software Developer,7.7,76.6,67.5,89.6,82.4,86.5,74.5,83.2,1,2,2,1,1,1,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,2
90,Software Developer,6.05,78.9,67.8,30.0,70.0,82.2,64.0,61.5,2,2,3,1,1,1,3,1,2,2,0,1,2,0,0,0,0,0,3,2,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,3,0,2
91,Software Developer,6.96,83.9,64.4,62.7,92.2,78.4,66.2,74.9,4,3,1,0,0,0,0,3,0,0,0,0,0,0,0,2,0,1,0,2,0,0,0,0,0,0,2,1,1,0,1,1,1,0,0,0,1,0,2,0,3
92,Software Developer,7.1,77.1,73.2,64.3,47.8,81.5,81.3,68.7,2,3,3,0,1,0,2,3,2,0,0,0,0,0,0,0,0,0,1,3,0,1,0,0,0,0,0,0,1,2,0,1,0,1,0,0,0,0,3,0,3
93,Software Developer,9.41,82.5,62.6,87.6,86.3,55.1,85.8,78.7,3,2,1,1,0,1,0,0,0,2,0,0,0,0,0,0,0,0,3,2,0,1,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,2,0,3
94,Software Developer,8.36,94.9,68.8,66.0,69.4,52.1,72.2,64.9,3,1,2,1,1,1,2,0,1,3,0,0,1,0,0,0,0,0,1,0,1,0,2,0,0,0,0,0,1,0,0,0,0,2,1,0,0,0,1,0,3
95,Software Developer,7.64,66.7,71.1,76.5,80.2,67.2,56.7,70.1,3,2,1,1,1,1,0,0,3,2,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2,0,0,0,3,0,1
96,Software Developer,6.69,63.8,82.3,87.9,84.6,84.3,61.7,79.6,3,3,0,0,1,1,3,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,3,0,2
97,Software Developer,6.97,89.2,77.8,68.0,61.0,67.4,78.0,68.6,1,2,2,1,0,1,2,2,0,0,0,1,0,0,0,0,0,0,1,3,0,0,0,0,3,0,0,0,0,2,0,0,2,1,0,0,0,0,3,0,2
98,Software Developer,8.3,83.8,81.7,65.3,77.3,55.6,67.3,66.4,2,3,2,1,1,1,2,3,3,1,0,0,0,0,2,1,0,1,1,3,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,2,0,2,0,3
99,Software Developer,7.97,92.4,80.5,76.3,71.7,53.4,87.2,72.2,1,2,2,1,0,1,1,0,0,0,0,0,0,0,0,0,0,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,0,3
100,Software Developer,5.59,68.2,84.9,78.7,58.7,58.1,67.7,65.8,2,2,2,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,2,0,1,0,0,0,0,2,1,0,1,0,0,1,0,0,0,0,0,0,3,0,3
101,Software Developer,8.03,81.1,78.4,80.4,80.5,63.1,64.1,72.0,1,1,3,1,1,1,0,3,2,0,0,0,0,1,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
102,Software Developer,7.49,72.3,66.3,63.1,78.7,54.8,83.5,70.0,2,2,1,1,1,1,1,0,3,1,2,0,2,0,0,0,0,1,0,3,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,2,1
103,Software Developer,8.81,71.6,89.5,82.3,100.0,48.0,53.2,71.4,3,2,2,1,1,1,1,2,1,0,0,0,0,0,0,0,0,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,1,0
104,Software Developer,8.16,77.9,68.2,60.7,79.5,65.6,76.4,70.5,2,3,1,1,1,1,2,0,2,2,0,0,0,0,0,0,0,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3
105,Software Developer,7.59,86.8,78.5,56.5,53.9,65.4,72.8,62.2,4,3,1,1,1,1,3,3,3,0,2,0,0,0,0,0,0,0,2,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,3
106,Software Developer,8.05,77.8,58.4,63.2,63.0,75.7,62.6,66.1,2,2,2,1,0,0,3,1,0,2,0,0,0,0,0,0,1,0,1,0,2,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2,0,0,3,0,2
107,Software Developer,7.69,87.6,77.1,76.5,86.1,76.1,77.8,79.1,2,2,2,1,1,1,3,1,1,0,0,2,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,3
108,Software Developer,8.77,78.3,63.4,77.4,76.0,53.4,86.4,73.3,3,3,3,1,1,1,1,2,2,2,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,3,0,2
109,Software Developer,8.13,76.6,74.3,98.6,81.7,70.3,73.7,81.1,2,3,1,1,1,1,3,1,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,3,0,3
